item_basico,nome_produto,preco,preco_original,desconto_percentual,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto,categoria_busca,fonte
oleo,MOLHO DE TOMATE POMAROLA TRADICIONAL CAIXA 260G,6.09,6.09,0.0,False,355,13799,7896036095096,48,molho-de-tomate-pomarola-tetra-pak-260g,https://mercadinhossaoluiz.com.br/produto/molho-de-tomate-pomarola-tetra-pak-260g,oleo,Mercadinho São Luiz
oleo,MOLHO SHOYU SAKURA TRADICIONAL 150ML,5.36,5.36,0.0,False,355,13799,7896007811007,27,molho-sakura-tradicional-150ml,https://mercadinhossaoluiz.com.br/produto/molho-sakura-tradicional-150ml,oleo,Mercadinho São Luiz
oleo,CALDO KNORR GALINHA 57G 6 CUBOS,2.62,2.62,0.0,False,355,13799,7894000000275,57,caldo-knorr-galinha-57g-6-cubos,https://mercadinhossaoluiz.com.br/produto/caldo-knorr-galinha-57g-6-cubos,oleo,Mercadinho São Luiz
oleo,CALDO KNORR CARNE 6 CUBOS,2.62,2.62,0.0,False,355,13799,7891150012318,56,caldo-knorr-carne-6-cubos,https://mercadinhossaoluiz.com.br/produto/caldo-knorr-carne-6-cubos,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN SALADAS 60G,6.37,6.37,0.0,False,355,13799,7891132019731,5,tempero-sazon-salada-floppy,https://mercadinhossaoluiz.com.br/produto/tempero-sazon-salada-floppy,oleo,Mercadinho São Luiz
oleo,TEMPERO EM PASTA RECEITA DE CASA CASEIRO 450G,14.73,14.73,0.0,False,355,13799,7891132000012,5,receita-de-casa-classico-20-x-450-gr,https://mercadinhossaoluiz.com.br/produto/receita-de-casa-classico-20-x-450-gr,oleo,Mercadinho São Luiz
oleo,TEMPERO EM PASTA RECEITA DE CASA COM PIMENTA 450G,14.73,14.73,0.0,False,355,13799,7891132000029,5,receita-de-casa-c-pim-20-x-450-gr,https://mercadinhossaoluiz.com.br/produto/receita-de-casa-c-pim-20-x-450-gr,oleo,Mercadinho São Luiz
oleo,AZEITE EXTRA VIRGEM GALLO 500ML,42.0,42.0,0.0,False,355,13799,5601252231164,110,azeite-extra-virgem-gallo-vidro-500ml,https://mercadinhossaoluiz.com.br/produto/azeite-extra-virgem-gallo-vidro-500ml,oleo,Mercadinho São Luiz
oleo,AÇAFRÃO ISHASHI EM PÓ 35G,6.37,6.37,0.0,False,355,13799,7896244830199,20,acafrao-ishashi-po-35g,https://mercadinhossaoluiz.com.br/produto/acafrao-ishashi-po-35g,oleo,Mercadinho São Luiz
oleo,ALECRIM ISHASHI 15G,5.42,5.42,0.0,False,355,13799,7896244830205,22,alecrim-ishashi-10g,https://mercadinhossaoluiz.com.br/produto/alecrim-ishashi-10g,oleo,Mercadinho São Luiz
oleo,LOURO ISHASHI EM PÓ 30G,6.58,6.58,0.0,False,355,13799,7896244830229,11,louro-em-po-ishashi-30g,https://mercadinhossaoluiz.com.br/produto/louro-em-po-ishashi-30g,oleo,Mercadinho São Luiz
oleo,MANJERICÃO ISHASHI 10G,6.09,6.09,0.0,False,355,13799,7896244830236,16,manjericao-ishashi-10g,https://mercadinhossaoluiz.com.br/produto/manjericao-ishashi-10g,oleo,Mercadinho São Luiz
oleo,SALSA ISHASHI 8G,5.42,5.42,0.0,False,355,13799,7896244830250,22,salsa-desidratada-ishashi-8g,https://mercadinhossaoluiz.com.br/produto/salsa-desidratada-ishashi-8g,oleo,Mercadinho São Luiz
